"id","time","gaikei_value","naikei_value","okuri_velocity","hiki_velocity","H1PV","H2PV","H3PV","H4-1PV","H4-2PV","H4-3PV","H4-4PV","H5PV","H6PV","H7PV","H1MV","H2MV","H3MV","H4-1MV","H4-2MV","H4-3MV","H4-4MV","H5MV","H6MV","H7MV","roshinkann_PV1","roshinkann_PV2","roshinkann_PV3","roshinkann_PV4","roshinkann_PV5","roshinkann_PV6","roshinkann_PV7","roshinkann_PV8","roshinkann_PV9","roshinkann_PV10"
47,"2022-02-14 10:09:20",1.801,0.0,0.0,0.0,742.8,780.8,827.1,882.5,898.8,899.5,887.6,822.1,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,744.0,791.7,841.1,894.3,892.4,890.3,891.7,835.6,786.2,745.6
48,"2022-02-14 10:09:21",1.801,0.0,0.0,0.0,742.8,780.8,827.0,882.5,898.7,899.5,887.6,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,744.0,791.7,841.1,894.3,892.4,890.3,891.7,835.6,786.2,745.7
49,"2022-02-14 10:09:22",1.801,0.0,0.0,0.0,742.8,780.8,827.0,882.5,898.7,899.6,887.7,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.7,786.2,745.7
50,"2022-02-14 10:09:23",1.801,0.0,0.0,0.0,742.8,780.8,827.0,882.6,898.7,899.6,887.7,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.6,786.2,745.7
51,"2022-02-14 10:09:24",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.6,898.7,899.6,887.6,822.2,755.5,725.2,26.9,23.0,22.4,26.6,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.6,786.2,745.7
52,"2022-02-14 10:09:25",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.7,899.6,887.6,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.6,786.2,745.7
53,"2022-02-14 10:09:26",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.7,899.6,887.6,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.6,786.2,745.7
54,"2022-02-14 10:09:27",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.7,899.6,887.6,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.6,786.2,745.7
55,"2022-02-14 10:09:28",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.7,899.6,887.7,822.2,755.5,725.2,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.7,786.2,745.7
56,"2022-02-14 10:09:29",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.7,899.6,887.7,822.2,755.5,725.3,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.4,23.3,31.3,743.8,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.8
57,"2022-02-14 10:09:30",1.801,0.0,0.0,0.0,742.7,780.7,826.9,882.6,898.7,899.6,887.7,822.2,755.5,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.8
58,"2022-02-14 10:09:31",1.801,0.0,0.0,0.0,742.7,780.7,826.9,882.6,898.7,899.6,887.7,822.2,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,840.9,894.2,892.3,890.3,891.7,835.7,786.2,745.8
59,"2022-02-14 10:09:32",1.801,0.0,0.0,0.0,742.7,780.7,826.9,882.6,898.6,899.6,887.7,822.2,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,840.9,894.2,892.3,890.3,891.7,835.7,786.2,745.8
60,"2022-02-14 10:09:33",1.801,0.0,0.0,0.0,742.7,780.7,826.9,882.6,898.6,899.6,887.7,822.2,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.8
61,"2022-02-14 10:09:34",1.801,0.0,0.0,0.0,742.7,780.7,826.9,882.6,898.6,899.6,887.7,822.2,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,840.9,894.2,892.3,890.3,891.7,835.7,786.2,745.8
62,"2022-02-14 10:09:35",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.6,899.6,887.7,822.2,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.8,791.8,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.8
63,"2022-02-14 10:09:36",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.7,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
64,"2022-02-14 10:09:37",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.6,898.7,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.8
65,"2022-02-14 10:09:38",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.7,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.4,26.6,26.1,26.4,26.0,22.4,23.3,31.2,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
66,"2022-02-14 10:09:39",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.3,23.3,31.2,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
67,"2022-02-14 10:09:40",1.801,0.0,0.0,0.0,742.8,780.7,827.0,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.3,23.3,31.2,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
68,"2022-02-14 10:09:41",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.4,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
69,"2022-02-14 10:09:42",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.3,890.3,891.7,835.7,786.2,745.9
70,"2022-02-14 10:09:43",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.6,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
71,"2022-02-14 10:09:44",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
72,"2022-02-14 10:09:45",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.5,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.8
73,"2022-02-14 10:09:46",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.5,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.7,786.2,745.8
74,"2022-02-14 10:09:47",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.5,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.3,892.4,890.3,891.7,835.7,786.2,745.9
75,"2022-02-14 10:09:48",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
76,"2022-02-14 10:09:49",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
77,"2022-02-14 10:09:50",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.6,725.3,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,746.0
78,"2022-02-14 10:09:51",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.7,822.3,755.6,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
79,"2022-02-14 10:09:52",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.6,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.9,791.7,841.0,894.2,892.4,890.3,891.7,835.7,786.2,745.9
80,"2022-02-14 10:09:53",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.6,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.8,791.7,841.0,894.2,892.5,890.3,891.7,835.6,786.2,745.9
81,"2022-02-14 10:09:54",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.6,725.2,26.9,23.0,22.5,26.7,26.1,26.4,26.0,22.3,23.3,31.1,743.8,791.7,841.0,894.2,892.5,890.3,891.7,835.6,786.2,745.9
82,"2022-02-14 10:09:55",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.6,725.2,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.3,23.3,31.1,743.8,791.7,841.0,894.2,892.4,890.3,891.7,835.6,786.2,745.9
83,"2022-02-14 10:09:56",1.801,0.0,0.0,0.0,742.8,780.7,826.9,882.5,898.6,899.6,887.6,822.3,755.6,725.2,26.9,23.0,22.5,26.6,26.1,26.4,26.0,22.3,23.3,31.1,743.8,791.7,841.0,894.2,892.4,890.3,891.7,835.6,786.2,745.9
